name,type,start_time,duration,"value","protocol","severity","rule","summary","field","message"
"Regress HLA","optical_event",0.63331965,0.00002148,,"CMIS",,,"Read Reg[0x88] = 0x00",,
"Regress HLA","optical_event",0.63334241,0.00002148,,"CMIS",,,"Read Reg[0x89] = 0x00",,
"Regress HLA","optical_event",0.63336517,0.00002148,,"CMIS",,,"Read Reg[0x8A] = 0x00",,
"Regress HLA","optical_event",0.63338793,0.00002177,,"CMIS",,,"Read Reg[0x8B] = 0x00",,
"Regress HLA","optical_event",0.63341098,0.00002148,,"CMIS",,,"Read Reg[0x8C] = 0x00",,
"Regress HLA","optical_event",0.63343374,0.00002148,,"CMIS",,,"Read Reg[0x8D] = 0x00",,
"Regress HLA","optical_event",0.6334565,0.00002148,,"CMIS",,,"Read Reg[0x8E] = 0x00",,
"Regress HLA","optical_field",0.63347926,0.00002148,"no lanes selected","CMIS",,,,"ApplyDPInit",
"Regress HLA","optical_field",0.63350202,0.00002148,"no lanes selected","CMIS",,,,"ApplyImmediate",
"Regress HLA","optical_field",0.63352478,0.00002148,"AppSel=1, DataPathID=0, ExplicitControl=0","CMIS",,,,"Lane 1 DataPath Ctrl",
"Regress HLA","optical_field",0.63354754,0.00002148,"AppSel=1, DataPathID=0, ExplicitControl=0","CMIS",,,,"Lane 2 DataPath Ctrl",
"Regress HLA","optical_field",0.6335703,0.00002148,"AppSel=1, DataPathID=2, ExplicitControl=0","CMIS",,,,"Lane 3 DataPath Ctrl",
"Regress HLA","optical_field",0.63359306,0.00002148,"AppSel=1, DataPathID=2, ExplicitControl=0","CMIS",,,,"Lane 4 DataPath Ctrl",
"Regress HLA","optical_field",0.63361582,0.00002148,"AppSel=1, DataPathID=4, ExplicitControl=0","CMIS",,,,"Lane 5 DataPath Ctrl",
"Regress HLA","optical_field",0.63363858,0.00002148,"AppSel=1, DataPathID=4, ExplicitControl=0","CMIS",,,,"Lane 6 DataPath Ctrl",
